what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1313218926031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1313218927625
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1313218930312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313218930843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313218931078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313218933187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313218937500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313218938500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1313218946937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313218948859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1313218950953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313218953515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313218958468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313218963109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313218964093
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1313219333687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219334421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219334656
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313219340531
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1313219347890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219348734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219348984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219390734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219391687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313219414125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1313219427656
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313219428875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1313219433250
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313219435062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313219437640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1313219450781
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1313219457968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219461359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219461703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1313219504796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313219510265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313219516796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1313219583890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313219585734
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1313219596625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313219601312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219607984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219609156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313219609187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219611937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219612828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219612875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313219615687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1313219620156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1313219620796
