what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205228828
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313205253671
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313205259000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205274234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1313205293515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1313205294296
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1313205312125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205323546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205323828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205340031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313205351265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205353437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205363421
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313205428156
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313205432953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313205434625
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313205442093
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313205442171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205450359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205456390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313205489859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205491687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205498015
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1313205498406
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313205498484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205499781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205516718
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313205517593
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313205543750
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205544859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205555781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313205571312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205693953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205703781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205719515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205727484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205744609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205778953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205782281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205788812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205790703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313205797218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205802218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205807125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313205810656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205811640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205814109
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1313205818078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313205820546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205896218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205909531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313205926796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205927781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205931390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1313205947328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313205954046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313205957843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205959765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313205971203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313206051546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313206051562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313206051656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313206125734
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313206137296
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313206138140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313206154312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313206171515
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1313206183687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313206196812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313206197625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313206197843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313206231968
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1313206239000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313206241750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313206242000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1313206250718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313206274343
