what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313291999609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313291999609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313291999687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292004734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292006343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292006359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292006453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292009359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292019734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292019734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292019828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292035234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313292039218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313292043875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313292063375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292080703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292080703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292080796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292092796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313292094906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1313292101062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292119109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292119109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292119171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292120578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292127390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292127390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292127453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292130109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313292144687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292148937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292148937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292149046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292158453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313292164593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292166750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292166765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292166843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292174484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292177484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292177500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292177578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292243078
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1313292244703
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313292244703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292248281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292261281
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313292261468
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313292261500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292265718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292265734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292265796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292342281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292364046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292364062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292364140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313292366796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313292372046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313292380703
