what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313210442500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313210443296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313210453984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313210456734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313210465000
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1313210538578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313210560625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1313210578531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313210579687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313210582468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313210584640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313210603640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313210609203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313210610796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313210615265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1313210616421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1313210616812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313210621656
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313210623109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313210624453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313210627906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313210679000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313210680359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313210701531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313211305906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313211590265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313211592015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313211592015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313211592093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313215825718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313215826593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313216103171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313216108000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313216160453
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1313216167359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313216188750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313216230968
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313216243625
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313216245671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313216259359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313216272328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313216273187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313216273625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313216274437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313216274781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313216373781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313216375078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313216377625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313216386750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1313216395281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313216411609
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313216415765
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1313216429062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313216460140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1313216464031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313216466015
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1313216477234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1313216484343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313216485187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313216501843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313216501890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1313216523812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313216526125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1313216528359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1313216532703
